Video_ID,Channel_ID,Video_Title,Published_At,Thumbnails,Comments,Likes,Views,Duration,Start_Time,End_Time,Scheduled_Time,Topic_Category
dE2nDuo2iNo,UCaIrY40rwEf51POKMybW-Eg,Hành Trình Đến 30k Sub của Linh | NIKA LAN LINH,2023-11-19T17:29:38Z,https://i.ytimg.com/vi/dE2nDuo2iNo/default.jpg,5,322,2219,PT5H23S,2023-11-19T12:15:12Z,2023-11-19T17:15:36Z,2023-11-19T12:15:03Z,['https://en.wikipedia.org/wiki/Video_game_culture']
ZXe5JVBb2Fw,UCaIrY40rwEf51POKMybW-Eg,Linh là vịt Lan là Ngõng | Goose Goose Duck | NIKA LAN LINH,2023-11-13T03:06:57Z,https://i.ytimg.com/vi/ZXe5JVBb2Fw/default.jpg,1,130,653,PT1H41M50S,2023-11-12T13:19:00Z,2023-11-12T15:00:54Z,2023-11-12T13:18:47Z,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']"
zedZbEnK6yw,UCaIrY40rwEf51POKMybW-Eg,Chết Đói Cùng Kanon và Lan | Don't Starve Together | NIKA LAN LINH,2023-11-11T14:21:12Z,https://i.ytimg.com/vi/zedZbEnK6yw/default.jpg,0,144,699,PT2H4M35S,2023-11-11T12:06:02Z,2023-11-11T14:10:37Z,2023-11-11T12:05:50Z,"['https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']"
xxfU5lI4O-A,UCaIrY40rwEf51POKMybW-Eg,Game Siêu Thử Thách... Die 1 Mạng Ăn 1 Củ Kiệu | Castle Crashers | NIKA LAN LINH,2023-11-11T02:02:01Z,https://i.ytimg.com/vi/xxfU5lI4O-A/default.jpg,3,139,735,PT1H50M36S,2023-11-10T12:01:47Z,2023-11-10T13:52:22Z,2023-11-10T12:01:38Z,"['https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Strategy_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']"
TlcqnaQZmFY,UCaIrY40rwEf51POKMybW-Eg,Liên Quân Hay Liên Quan Gì  Đâu  | NIKA LAN LINH,2023-11-09T14:53:05Z,https://i.ytimg.com/vi/TlcqnaQZmFY/default.jpg,0,188,1415,PT2H41M30S,2023-11-09T12:01:24Z,2023-11-09T14:42:50Z,2023-11-09T12:01:14Z,"['https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Strategy_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']"
NhNGmw_16nc,UCaIrY40rwEf51POKMybW-Eg,Tôi Muốn Tắt Nắng Đi Cho Màu Đừng Nhạt Mất | NIKA LAN LINH,2023-11-07T01:56:22Z,https://i.ytimg.com/vi/NhNGmw_16nc/default.jpg,5,163,879,PT1H49M13S,2023-11-06T12:00:00Z,2023-11-06T13:49:11Z,2023-11-06T11:59:45Z,['https://en.wikipedia.org/wiki/Music']
EkGqkSFkdX4,UCaIrY40rwEf51POKMybW-Eg,Được Tặng Loading Mới nên Phải Live Stream Thôi | NIKA LAN LINH,2023-11-04T19:57:41Z,https://i.ytimg.com/vi/EkGqkSFkdX4/default.jpg,4,145,783,PT1H20M46S,2023-11-04T06:31:49Z,2023-11-04T07:52:35Z,2023-11-04T06:31:39Z,['https://en.wikipedia.org/wiki/Video_game_culture']
goAErZ-Fl64,UCaIrY40rwEf51POKMybW-Eg,Nhà Cưa Gái Đại Tài | LOVE IS ALL AROUND  | NIKA LAN LINH,2023-11-04T14:21:39Z,https://i.ytimg.com/vi/goAErZ-Fl64/default.jpg,0,149,897,PT2H12M17S,2023-11-04T12:01:28Z,2023-11-04T14:13:42Z,2023-11-04T12:01:14Z,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']"
nm8bdqkSkLc,UCaIrY40rwEf51POKMybW-Eg,Đấm Nhau Một Cách Yêu Thương |PARTY ANIMALS | NIKA LAN LINH,2023-11-02T14:26:23Z,https://i.ytimg.com/vi/nm8bdqkSkLc/default.jpg,1,168,925,PT2H8M22S,2023-11-02T12:06:47Z,2023-11-02T14:15:04Z,2023-11-02T12:06:34Z,"['https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Strategy_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']"
hGHPUYszShU,UCaIrY40rwEf51POKMybW-Eg,✨LỊCH STREAM HẰNG TUẦN 🍰 | NIKA LAN LINH,2023-11-01T16:53:49Z,https://i.ytimg.com/vi/hGHPUYszShU/default_live.jpg,0,27,0,P0D,,,2025-11-01T16:50:00Z,[]
